city,year,avg_temp
San Francisco,1849,14.12
San Francisco,1850,13.80
San Francisco,1851,14.39
San Francisco,1852,13.81
San Francisco,1853,14.40
San Francisco,1854,13.98
San Francisco,1855,14.20
San Francisco,1856,14.10
San Francisco,1857,14.78
San Francisco,1858,14.19
San Francisco,1859,13.71
San Francisco,1860,13.81
San Francisco,1861,14.88
San Francisco,1862,14.43
San Francisco,1863,14.43
San Francisco,1864,15.18
San Francisco,1865,14.32
San Francisco,1866,14.67
San Francisco,1867,14.46
San Francisco,1868,14.25
San Francisco,1869,14.57
San Francisco,1870,14.19
San Francisco,1871,14.34
San Francisco,1872,14.63
San Francisco,1873,14.46
San Francisco,1874,14.09
San Francisco,1875,14.76
San Francisco,1876,14.44
San Francisco,1877,15.03
San Francisco,1878,14.37
San Francisco,1879,14.20
San Francisco,1880,13.22
San Francisco,1881,14.39
San Francisco,1882,13.58
San Francisco,1883,13.93
San Francisco,1884,14.05
San Francisco,1885,15.05
San Francisco,1886,14.58
San Francisco,1887,14.38
San Francisco,1888,14.70
San Francisco,1889,14.81
San Francisco,1890,14.05
San Francisco,1891,14.46
San Francisco,1892,14.05
San Francisco,1893,13.40
San Francisco,1894,13.80
San Francisco,1895,13.95
San Francisco,1896,14.22
San Francisco,1897,13.81
San Francisco,1898,13.77
San Francisco,1899,14.04
San Francisco,1900,14.64
San Francisco,1901,14.34
San Francisco,1902,14.07
San Francisco,1903,14.12
San Francisco,1904,14.50
San Francisco,1905,14.39
San Francisco,1906,14.81
San Francisco,1907,14.34
San Francisco,1908,14.01
San Francisco,1909,14.05
San Francisco,1910,14.17
San Francisco,1911,13.46
San Francisco,1912,13.95
San Francisco,1913,14.38
San Francisco,1914,14.33
San Francisco,1915,14.30
San Francisco,1916,13.61
San Francisco,1917,14.06
San Francisco,1918,14.14
San Francisco,1919,13.60
San Francisco,1920,13.72
San Francisco,1921,14.24
San Francisco,1922,13.61
San Francisco,1923,14.13
San Francisco,1924,14.10
San Francisco,1925,14.34
San Francisco,1926,15.14
San Francisco,1927,14.24
San Francisco,1928,14.32
San Francisco,1929,14.25
San Francisco,1930,14.25
San Francisco,1931,14.93
San Francisco,1932,14.24
San Francisco,1933,13.93
San Francisco,1934,15.31
San Francisco,1935,14.12
San Francisco,1936,15.13
San Francisco,1937,14.36
San Francisco,1938,14.35
San Francisco,1939,14.81
San Francisco,1940,15.12
San Francisco,1941,14.98
San Francisco,1942,14.20
San Francisco,1943,14.72
San Francisco,1944,14.17
San Francisco,1945,14.41
San Francisco,1946,13.83
San Francisco,1947,14.51
San Francisco,1948,13.65
San Francisco,1949,13.90
San Francisco,1950,14.66
San Francisco,1951,14.06
San Francisco,1952,14.11
San Francisco,1953,14.42
San Francisco,1954,14.18
San Francisco,1955,13.74
San Francisco,1956,14.08
San Francisco,1957,14.59
San Francisco,1958,15.41
San Francisco,1959,15.39
San Francisco,1960,14.59
San Francisco,1961,14.65
San Francisco,1962,14.22
San Francisco,1963,14.19
San Francisco,1964,14.24
San Francisco,1965,14.14
San Francisco,1966,14.74
San Francisco,1967,14.50
San Francisco,1968,14.66
San Francisco,1969,14.51
San Francisco,1970,14.76
San Francisco,1971,13.89
San Francisco,1972,14.25
San Francisco,1973,14.58
San Francisco,1974,14.41
San Francisco,1975,13.82
San Francisco,1976,14.72
San Francisco,1977,14.63
San Francisco,1978,14.96
San Francisco,1979,14.99
San Francisco,1980,14.74
San Francisco,1981,15.22
San Francisco,1982,14.00
San Francisco,1983,15.07
San Francisco,1984,14.97
San Francisco,1985,14.23
San Francisco,1986,15.00
San Francisco,1987,14.95
San Francisco,1988,15.08
San Francisco,1989,14.45
San Francisco,1990,14.73
San Francisco,1991,14.50
San Francisco,1992,15.53
San Francisco,1993,14.97
San Francisco,1994,14.21
San Francisco,1995,15.31
San Francisco,1996,15.56
San Francisco,1997,15.75
San Francisco,1998,14.38
San Francisco,1999,14.41
San Francisco,2000,15.02
San Francisco,2001,15.25
San Francisco,2002,15.00
San Francisco,2003,15.43
San Francisco,2004,15.37
San Francisco,2005,15.17
San Francisco,2006,15.02
San Francisco,2007,14.94
San Francisco,2008,15.05
San Francisco,2009,15.02
San Francisco,2010,14.67
San Francisco,2011,14.50
San Francisco,2012,15.05
San Francisco,2013,16.23
